分类	书名	书号	作者	首日总订	首日最高订	首日均订
玄幻	神皇蛊师	5521	寒风飞雪	NaN	NaN	NaN
玄幻	兵家	8877	胆小的胖子	3	2	1
玄幻	临路歌	6818	悠悠似云	1	1	1
玄幻	寒鸮双子	2924	牧鸮海婴	3	3	3
玄幻	武界	5891	暗夜聽雨	3	3	1.5
玄幻	幽梦亦真	1295	梦亦真	6	1	1
玄幻	明日再临	8602	墨曦	NaN	NaN	NaN
玄幻	每周一款新杀手	6272	但他林	4	1	0.31
玄幻	九元道御	1851	意疏朗	1	1	1
玄幻	风逆	5771	风之圣痕	1	1	1
玄幻	界主	9099	玖叶	35	18	17.5
玄幻	我是地球叛裔	5892	深蓝的伞	1	1	1
玄幻	灵珠玄奇	303	紫瞳叶王	212	38	21.2
玄幻	最强国学领主	927	熊山居士	54	28	27
仙侠	九州玄门记	11527	匿尾	5	5	5
仙侠	我有一位女师父	9374	雪地中的花	NaN	NaN	NaN
仙侠	水天孤鸿	10904	老玉米	NaN	NaN	NaN
仙侠	凭剑入此间	3350	白日泛青光	18	13	9
奇幻	潘德的预言杰克传	5080	画中仙1911	26	26	26
奇幻	血族之薄血年代	179	是个小默盒啊	1	1	1
游戏	万界征战在线	1237	无双血	1	1	0.5
游戏	造物世界	7840	道云鬼	4	3	2
历史	寒燕	5706	鱼塘湾	18	10	9
历史	兵甲天下	7236	醒木拍桌	NaN	NaN	NaN
历史	汉王无双	1067	帝国吃货	57	18	11.4
科幻	来自末世的日志	4901	脑子被狗叼走了	47	19	11.75
科幻	我的废柴系统	5607	干煸腐竹	7	3	1.75
科幻	异常接触	576	金刚蛀虫	16	6	5.33
科幻	怪异的万界角斗场	5391	愿书优	NaN	NaN	NaN
科幻	随身带着太阳系	10112	醉轩居士	20	8	2
科幻	灾难紧急逃生	6663	正心	4	4	4
科幻	深海默示录	6758	铁板乌贼	19	12	9.5
科幻	你见过我的龙了吗	2876	梦里捻烛火	1	1	1
军事	飞鹰进化	4358	阿牛哥	295	34	19.67
军事	回到民国当小编	1463	约翰留着长长的胡子	1179	468	294.75
二次元	旅者征程	10585	迷城客	7	7	7
都市	玉缠枝	8753	郁榕	20	11	6.67
都市	玄羽寻天	730	凤木	NaN	NaN	NaN
都市	胖一斤就退圈	2926	夜飘宇	61	15	12.2
都市	异能唐武	4431	是胡罗呗呀	2	2	2
都市	我有三个角色号	9643	鱼头肉	NaN	NaN	NaN
悬疑	谈古闻	3173	牌青赤	10	9	5
悬疑	鬼恋灵异都市	6490	一只牙	3	3	1.5
女频	听说爱情不遥远	10184	庄居言	16	3	1.07
女频	仙尊她又在哄官配	4160	十方晴昼	4	4	4
女频	爱念诗的牛	943	依水荷桉	6	6	6
女频	蓝色天使	4517	蝶与猫	1	1	1
女频	高冷世子套路深	3961	梨花何棠棠126	NaN	NaN	NaN
女频	穿越计划之零贰号日常	11899	大虾任性	23	7	3.83
